ID|Name|Location|Repository
Bod939|Bodleian Library: Bodley 939 (SC 27691)|Oxford|Bodleian Library
BodRo1|Bodleian Library: Bodley Rolls 1 (SC 2974)|Oxford|Bodleian Library
BodRo16|Bodleian Library: Bodley Rolls 16 (SC 2975)|Oxford|Bodleian Library
BodRo22|Bodleian Library: Bodley Rolls 22 (SC 30445)|Oxford|Bodleian Library
BodCorne2|Bodleian Library: Corn e.2 (SC 28556)|Oxford|Bodleian Library
BodCorne3|Bodleian Library: Corn. e.3 (SC 28557)|Oxford|Bodleian Library
BodDepc130|Bodleian Library: Dep. c.130 [facsimile of Lyme Hall]|Oxford|Bodleian Library
BodDepd324|Bodleian Library: Dep. d.324|Oxford|Bodleian Library
BodDig2|Bodleian Library: Digby 2 (SC 1603)|Oxford|Bodleian Library
BodDig4|Bodleian Library: Digby 4 (SC 1605)|Oxford|Bodleian Library
BodDig14|Bodleian Library: Digby 14 (SC 1615)|Oxford|Bodleian Library
BodDig18|Bodleian Library: Digby 18 (SC 1619)|Oxford|Bodleian Library
BodDig20|Bodleian Library: Digby 20 (SC 1621)|Oxford|Bodleian Library
BodDig41|Bodleian Library: Digby 41 (SC 1642)|Oxford|Bodleian Library
BodDig45|Bodleian Library: Digby 45 (SC 1646)|Oxford|Bodleian Library
BodDig53|Bodleian Library: Digby 53 (SC 1654)|Oxford|Bodleian Library
BodDig55|Bodleian Library: Digby 55 (SC 1656)|Oxford|Bodleian Library
BodDig75|Bodleian Library: Digby 75 (SC 1676)|Oxford|Bodleian Library
BodDig86|Bodleian Library: Digby 86 (SC 1687)|Oxford|Bodleian Library
BodDig87|Bodleian Library: Digby 87 (SC 1688)|Oxford|Bodleian Library
BodDig88|Bodleian Library: Digby 88 (SC 1689)|Oxford|Bodleian Library
BodDig95|Bodleian Library: Digby 95 (SC 1696)|Oxford|Bodleian Library
BodDig99|Bodleian Library: Digby 99 (SC 1700)|Oxford|Bodleian Library
BodDig102|Bodleian Library: Digby 102 (SC 1703)|Oxford|Bodleian Library
